pubId:ID(Pubs),Title,Year,Tipo,:LABEL
320,On a Fast Algorithm for Constrained Nonlinear Least Squares Problems,1992,article,Pub
321,Upper and Lower Bounds for Certain Graph-Accessability-Problems on Bounded Alternating (omega)-Branching Programs,1992,article,Pub
322,Mod-2-OBDD's: A Generalization of OBDD's and EXOR-Sum-of-Products,1993,article,Pub
323,A Generic Background Dissemination Service for Mobile Ad-Hoc Networks,2004,article,Pub
324,Die Entwicklung der Informatik braucht Theorie und Praxis: Ein Fallbeispiel aus dem CAD-Schaltkreisentwurf,1995,article,Pub
325,On the Complexity of a Licence Constrained Job Assignment Problem,1992,article,Pub
326,A Unifying Theoretical Background for Some BDD-based Data Structures,1994,article,Pub
327,Approximation Results for Wavelength Routing in Directed Binary Trees,1996,article,Pub
328,Interior Proximal Method for Variational Inequalities: Case of Non-paramonotone Operators,2001,article,Pub
329,Parallel versus Sequential Task-Processing: A New Performance Model in Discrete Time,1996,article,Pub
330,A Decomposition Method in Nonconvex Mixed-Integer Programming,1994,article,Pub
331,A new Algorithm for Solving the General Quadratic Programming Problem,1993,article,Pub
332,Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making,1996,article,Pub
333,Design and Implementation of a PHP-based Web Server for the Tele-Lab IT Security,2003,article,Pub
334,Model-Checking for L,1997,article,Pub
335,On the Expressiveness of Tree Set Operators,2002,article,Pub
336,A Decomposition Approach for the Global Minimization of Biconcave Functions over Polytopes,1993,article,Pub
337,One Step Further: Integrating Electronic Submission and the Reviewing Process,1999,article,Pub
338,On the Complexity of Constructing Optimal OBDD's,1994,article,Pub
339,tele-TASK - Teleteaching praxistauglich fr den Universittsalltag,2003,article,Pub
340,Cross-Positive Matrices Revisited,1993,article,Pub
341,Medizinische Bildverarbeitung - eine bersicht,2004,article,Pub
342,Rumliche Markov-additive Prozesse und Bedienstationen ohne Warteraum,2003,article,Pub
343,Logarithmic Barrier Methods for Solving the Optimal Output Feedback Problem,1995,article,Pub
344,On Markov-Additive Jump Processes,2000,article,Pub
345,Zum Gleichgewichtsverhalten von Markov-Prozessen,1998,article,Pub
346,Symmetric Functions in AC,1993,article,Pub
347,Global Convergence of Inexact Reduced SQP Methods,1995,article,Pub
348,Complexity Results for the Optimum Cost Chromatic Partition Problem,1996,article,Pub
349,On Multiplicative Structure in Quasi-Newton Methods for Nonlinear Equations,1992,article,Pub
350,Quantization for Probability Measures with Respect to the Geometric Mean Error,2002,article,Pub
351,Lower Bounds for Randomized Branching Programs with a Big OBDD Part,2000,article,Pub
352,On the Complexity of some Basic Problems in Computational Convexity: II. Volume and mixed volumes,1994,article,Pub
353,Computational Complexity of Inner and Outer j-RADII of Polytopes in Finite-Dimensional Normed Spaces,1993,article,Pub
354,Newton's Method for a Class of Optimal Shape Design Problems,1996,article,Pub
